ID,ZIP,CITY,STATE,LAT,LNG
0,43547,NEAPOLIS,OH,41.49216,-83.87631
1,36512,BUCKS,AL,30.998808,-88.01841
2,65035,FREEBURG,MO,38.363815,-91.94696
3,46943,LAKETON,IN,40.975388,-85.84293
4,86043,SECOND MESA,AZ,35.8097,-110.53344
5,27892,WILLIAMSTON,NC,35.81232,-77.05163
6,52133,CASTALIA,IA,43.109715,-91.66129
7,49879,REPUBLIC,MI,46.35872,-88.03881
8,47356,MIDDLETOWN,IN,40.03146,-85.50742
9,43739,GLENFORD,OH,39.903133,-82.28631
10,67547,KINSLEY,KS,37.930565,-99.455864
11,73084,SPENCER,OK,35.52586,-97.34437
12,08560,TITUSVILLE,NJ,40.31573,-74.85728
13,63780,SCOTT CITY,MO,37.188717,-89.51447
14,95322,GUSTINE,CA,37.1662,-121.02443
15,96041,HAYFORK,CA,40.525723,-123.19392
16,50613,CEDAR FALLS,IA,42.53138,-92.48581
17,98146,SEATTLE,WA,47.500057,-122.35785
18,40740,LILY,KY,37.02058,-84.037315
19,04083,SPRINGVALE,ME,43.46412,-70.814285
20,53930,ENDEAVOR,WI,43.691692,-89.48683
21,21651,MILLINGTON,MD,39.256084,-75.851524
22,63540,GIBBS,MO,40.107372,-92.41039
23,17013,CARLISLE,PA,40.242687,-77.19728
24,71030,GLOSTER,LA,32.195972,-93.7849
25,05487,STARKSBORO,VT,44.210342,-72.99341
26,22722,HAYWOOD,VA,38.466263,-78.227066
27,18347,POCONO LAKE,PA,41.13888,-75.56023
28,59405,GREAT FALLS,MT,47.31926,-111.29853
29,23438,SUFFOLK,VA,36.581413,-76.69688
30,92840,GARDEN GROVE,CA,33.787167,-117.93189
31,65244,CLIFTON HILL,MO,39.4848,-92.659485
32,33031,HOMESTEAD,FL,25.524982,-80.50088
33,99031,SPANGLE,WA,47.423492,-117.36242
34,07013,CLIFTON,NJ,40.869404,-74.173065
35,14830,CORNING,NY,42.128124,-77.031975
36,60632,CHICAGO,IL,41.810165,-87.71325
37,23413,NASSAWADOX,VA,37.472855,-75.857765
38,33837,DAVENPORT,FL,28.194773,-81.58751
39,10469,BRONX,NY,40.868607,-73.84813
